SOURCE_ID,SOURCE_FAMILY,ANALYST,PUBLICATION,TITLE,PUBLICATION_DATE,URL,SOURCE_TYPE,EXPERTISE_SCORE,FILM_SPECIFICITY_SCORE,METHODOLOGY_SCORE,SAMPLE_DISCLOSURE_SCORE,STATISTICAL_SUPPORT_SCORE,CAREER_COVERAGE_SCORE,BALANCED_EVIDENCE_SCORE,INDEPENDENCE_SCORE,ACCESS_DATE,PLAYER_COVERAGE,PRIMARY_USE,ACCESS_STATUS,PAYWALL_STATUS,NOTES
TB_MJ_BACKPICKS_2018,thinking_basketball_backpicks,Ben Taylor,Thinking Basketball,Backpicks GOAT: #2 Michael Jordan,2018-04-08,https://thinkingbasketball.net/2018/04/08/backpicks-goat-2-michael-jordan/,film_and_statistical_profile,3,3,3,2,2,2,2,2,2026-08-04,Michael Jordan,career_profile,accessible,public,"Anchor source with disclosed possession samples, film examples, statistical context, career phases, strengths, and limitations."
TB_LBJ_BACKPICKS_2018,thinking_basketball_backpicks,Ben Taylor,Thinking Basketball,Backpicks GOAT: #3 LeBron James,2018-04-05,https://thinkingbasketball.net/2018/04/05/backpicks-goat-3-lebron-james/,film_and_statistical_profile,3,3,3,2,2,2,2,2,2026-08-04,LeBron James,career_profile,accessible,public,"Anchor source with disclosed possession samples, film examples, statistical context, career phases, strengths, and limitations."
GOLD_MJ_SCORING_2020,goldsberry_espn_spatial,Kirk Goldsberry,ESPN,Why Michael Jordan's scoring prowess still can't be touched,2020-05-20,https://www.espn.com/nba/story/_/id/29035071/why-michael-jordan-scoring-prowess-touched,spatial_scoring_analysis,3,2,2,1,2,1,1,2,2026-08-04,Michael Jordan,scoring_spatial_analysis,accessible,metered_or_region_dependent,Shot-location and scoring-profile analysis. Narrower than a complete career film profile.
GOLD_LBJ_ATLAS_2018,goldsberry_espn_spatial,Kirk Goldsberry,ESPN,The Atlas of LeBron James: How the King became an offensive force,2018-10-18,https://www.espn.com/nba/story/_/id/24999715/lebron-james-atlas-kirk-goldsberry-king-evolving-offensive-game,spatial_scoring_analysis,3,2,2,1,2,2,1,2,2026-08-04,LeBron James,scoring_evolution,accessible,metered_or_region_dependent,Spatial analysis of LeBron's development as a scorer and offensive creator.
GOLD_LBJ_SCORING_RECORD_2023,goldsberry_espn_spatial,Kirk Goldsberry,ESPN,LeBron's journey to the NBA scoring record in shot charts,2023-02-08,https://www.espn.com/nba/insider/story/_/id/35557670/lebron-journey-nba-scoring-record-shot-charts,spatial_scoring_analysis,3,2,2,1,2,2,1,2,2026-08-04,LeBron James,scoring_evolution_and_longevity,accessible,metered_or_region_dependent,"Career shot-chart analysis covering interior scoring, shooting evolution, and longevity."
SCHUHMANN_LBJ_TRANSITION_2020,schuhmann_nba_film,John Schuhmann,NBA.com,Film Study: How LeBron James leads Lakers' transition offense,2020-05-13,https://www.nba.com/news/film-study-lakers-transition-lebron-james-anthony-davis,film_and_tracking_analysis,3,3,2,2,2,1,1,2,2026-08-04,LeBron James,transition_offense,accessible,public,Play-specific analysis supported by Second Spectrum and Synergy tracking statistics.
SCHUHMANN_LBJ_DEFENSE_LOAD_2018,schuhmann_nba_film,John Schuhmann,NBA.com,Shouldering the offense took big toll on LeBron James' defense,2018-06-09,https://www.nba.com/news/shouldering-offensive-load-took-big-toll-lebron-james-defense,film_and_context_analysis,3,2,2,1,2,1,2,2,2026-08-04,LeBron James,defensive_workload_context,accessible,public,Examines defensive ability separately from observed effort and offensive workload.
SCHUHMANN_LBJ_CURRY_SWITCH_2018,schuhmann_nba_film,John Schuhmann,NBA.com,Finals Film Study: Warriors survive the James-Curry switch,2018-06-02,https://www.nba.com/news/finals-film-study-lebron-james-stephen-curry,playoff_matchup_film_analysis,3,3,2,2,2,1,2,2,2026-08-04,LeBron James,late_clock_and_matchup_creation,accessible,public,"Possession-specific playoff analysis of screening, switches, clock use, and counters."
SCHUHMANN_LBJ_FINALS_DEFENSE_2020,schuhmann_nba_film,John Schuhmann,NBA.com,Film Study: 5 plays that tell the biggest story of Lakers' Game 4 win,2020-10-08,https://www.nba.com/news/lakers-heat-game-4-film-study-analysis,playoff_defensive_film_analysis,3,3,2,1,2,1,2,2,2026-08-04,LeBron James,playoff_defense,accessible,public,Game-specific playoff defensive analysis with identifiable play examples.
LOWE_LAKERS_DEFENSE_2020,lowe_espn_tactical,Zach Lowe,ESPN,"NBA Finals: How LeBron James, Anthony Davis and the Lakers are smothering opponents",2020-10-03,https://www.espn.com/nba/story/_/page/zachlowe30004764/nba-finals-how-lebron-james-anthony-davis-lakers-smothering-opponents,tactical_reporting_and_film,3,2,2,1,2,1,2,2,2026-08-04,LeBron James,defensive_scheme_and_recognition,accessible,metered_or_region_dependent,"Combines film interpretation, coaching interviews, defensive scheme, and tracking context."
LOWE_GOAT_DEBATE_2020,lowe_espn_tactical,Zach Lowe,ESPN,LeBron James vs. Michael Jordan: Why the GOAT debate is different now,2020-10-12,https://www.espn.com/nba/story/_/id/30070633,comparative_analysis,3,1,2,1,2,2,2,2,2026-08-04,Both,comparative_context,accessible,metered_or_region_dependent,Direct comparison with broader career and playoff context. Less film-specific than anchor sources.
RINGER_MJ_FADEAWAY_2020,ringer_j_kyle_mann,J. Kyle Mann,The Ringer,Michael Jordan Didn't Invent the Fadeaway—but He Did Perfect It,2020-05-15,https://www.theringer.com/2020/05/15/sports/ball-the-right-moves-michael-jordan-didnt-invent-fadeaway-but-he-did-perfect-it,skill_film_breakdown,2,3,1,0,0,1,1,2,2026-08-04,Michael Jordan,midrange_footwork,accessible,public,Dimension-specific film breakdown. Registered as supplementary because sampling is not disclosed.
RINGER_LBJ_BIG_PLAYMAKERS_2019,ringer_j_kyle_mann,J. Kyle Mann,The Ringer,How Big Playmakers Are Dominating the NBA This Season,2019-12-19,https://www.theringer.com/videos/j-kyle-mann-videos/2024/12/02/how-big-playmakers-are-dominating-the-nba-this-season,skill_film_breakdown,2,3,1,0,1,1,1,2,2026-08-04,LeBron James,playmaking_and_advantage_creation,accessible,public,Film-focused playmaking analysis. Supplementary because no systematic possession sample is disclosed.
RINGER_LBJ_TEAMMATE_FIT_2020,ringer_j_kyle_mann,J. Kyle Mann,The Ringer,"LeBron James's Best Teammates, Ranked",2020-10-12,https://www.theringer.com/videos/j-kyle-mann-videos/2024/12/02/lebron-jamess-best-teammates-ranked,fit_and_scalability_analysis,2,2,1,0,1,2,1,2,2026-08-04,LeBron James,teammate_fit_and_scalability,accessible,public,"Useful for fit and scalability, not for broad offensive or defensive scoring."
BAM_MJ_ATTENTION_DETAIL_2016,by_any_means_basketball,Coleman Ayers,By Any Means Basketball,Attention to Detail: Michael Jordan,2016-09-03,https://www.youtube.com/watch?v=Xh_Y_dYNlVM,skill_film_breakdown,2,3,1,0,0,1,1,2,2026-08-04,Michael Jordan,skill_profile,accessible,public,Film-heavy skill profile. Supplementary because sampling and formal methodology are not disclosed.
BAM_LBJ_ATTENTION_DETAIL_2016,by_any_means_basketball,Coleman Ayers,By Any Means Basketball,Attention to Detail: LeBron James,2016-11-07,https://www.youtube.com/watch?v=tI47Ble9ajw,skill_film_breakdown,2,3,1,0,0,1,1,2,2026-08-04,LeBron James,skill_profile,accessible,public,Film-heavy skill profile. Supplementary because sampling and formal methodology are not disclosed.
