CLAIM_ID,SOURCE_ID,PLAYER_NAME,CAREER_PHASE,SEASON_START,SEASON_END,SEASON_TYPE,SIDE,DIMENSION,CLAIM_DIRECTION,CLAIM_STRENGTH,EVIDENCE_TYPE,FILM_EXAMPLES_PRESENT,SAMPLE_SIZE_DISCLOSED,CONFIDENCE,SUPPORTING_LOCATION,SUMMARY,LIMITATIONS,REVIEW_STATUS
TB_LBJ_2018_D_COMMUNICATION,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,communication_recognition,major_strength,3,film_and_statistical_profile,True,False,0.95,"Scouting Report — play diagnosis, mismatch recognition, and teammate direction","LeBron regularly anticipated opponent actions, recognized mismatches, and directed teammates before plays fully developed.",Communication is difficult to observe consistently from broadcast footage and is supported by selected examples.,verified_with_qualification
TB_LBJ_2018_D_REBOUNDING,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,defensive_rebounding,major_strength,3,film_and_statistical_context,True,False,0.96,Scouting Report — long-term perimeter-player defensive-rebounding percentile,LeBron is evaluated as an elite defensive rebounder for a perimeter player from his teenage seasons onward.,Position-relative percentile evidence does not fully account for lineup role or deliberate transition assignments.,verified_with_qualification
TB_LBJ_2018_D_EFFORT_CONSISTENCY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,effort_consistency,mixed,3,film_and_statistical_profile,True,False,0.94,"Scouting Report — 2009-13 peak, 2014 activity decline, 2016 rebound, and later breakdowns",LeBron reached an elite activity level during his defensive peak but became substantially less consistent as mileage and offensive responsibility increased.,"Observed activity is affected by role, injury, workload, age, and deliberate energy allocation.",verified_with_qualification
TB_LBJ_2018_D_FOUL_DISCIPLINE,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,foul_discipline,major_strength,3,film_and_statistical_context,True,False,0.93,Scouting Report — shooting-foul frequency and physical wing defense,LeBron produced high-value defensive actions while committing unusually few shooting fouls.,Low foul frequency does not independently establish complete defensive effectiveness or assignment difficulty.,verified_with_qualification
TB_LBJ_2018_D_GAMBLING_CONTROL,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,gambling_error_control,limitation,2,film_and_statistical_profile,True,True,0.88,"Scouting Report — Cleveland gambling, risky gambits, and rotation-error discussion","LeBron sometimes substituted risky anticipation plays for more reliable physical containment, creating avoidable breakdowns.",The tendency varied by season and should not erase the large positive impact of his peak defensive activity.,verified_with_qualification
TB_LBJ_2018_D_HELP_POSITIONING,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,help_positioning,major_strength,3,film_and_statistical_profile,True,True,0.97,"Scouting Report — play diagnosis, help scoring, pinches, rotations, and pick-and-roll disruption","LeBron's peak help defense combined anticipation, positioning, size, and rapid rotations that could erase an opponent's advantage.","The source also reports stationary off-ball possessions and missed rotations, especially outside his peak.",verified_with_qualification
TB_LBJ_2018_D_PASSING_LANES,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,passing_lane_disruption,strength,3,film_and_statistical_profile,True,False,0.92,"Scouting Report — passing-lane jumps, pinches, help actions, and defensive anticipation","LeBron's size, anticipation, and court recognition enabled high-value passing-lane disruption from several positions.",The source also identifies some risky gambles and therefore does not treat every steal attempt as positive value.,verified_with_qualification
TB_LBJ_2018_D_PLAYOFF_ADAPTABILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,playoff_adaptability,strength,3,film_and_statistical_profile,True,False,0.92,"Scouting Report and Impact Evaluation — multi-position assignments, playoff block peak, and key-stopper role",LeBron's peak versatility and recognition allowed him to change assignments and provide high-value defensive interventions in playoff settings.,The source also documents reduced activity in later seasons and does not grade every postseason series.,verified_with_qualification
TB_LBJ_2018_D_POINT_OF_ATTACK,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,point_of_attack,major_strength,3,film_and_statistical_profile,True,False,0.95,"Scouting Report — perimeter-defense development and point, wing, and center matchup examples","At his defensive peak, LeBron combined quickness, strength, length, and technique to contain high-level perimeter creators.",The source clearly distinguishes peak defense from weaker early seasons and reduced later-career activity.,verified_with_qualification
TB_LBJ_2018_D_POSITIONAL_VERSATILITY,TB_LBJ_BACKPICKS_2018,LeBron James,career_through_2018,2003-04,2017-18,all,defense,positional_versatility,major_strength,3,film_and_statistical_profile,True,False,0.98,Scouting Report — all-position coverage and Impact Evaluation defensive versatility,The source treats LeBron's ability to cover diverse roles and assignments as one of his defining defensive advantages.,The evidence describes peak capability rather than identical versatility throughout every season.,verified_with_qualification
