source_id,title,publisher,url,published_date,accessed_date,source_type,primary_source,notes
CUL001,"NIKE, Inc. Reports Fiscal 2026 Fourth Quarter and Full Year Results","NIKE, Inc.",https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2026/NIKE-Inc--Reports-Fiscal-2026-Fourth-Quarter-and-Full-Year-Results/default.aspx,2026-06-25,2026-08-03,financial_release,true,Reports $7.034 billion in fiscal 2026 Jordan Brand revenue.
CUL002,Jordan Brand Introduces the Air Jordan 40,"NIKE, Inc.",https://about.nike.com/en/newsroom/releases/jordan-brand-air-jordan-40-official-images,2025-06-25,2026-08-03,brand_release,true,Documents the 40th flagship Air Jordan model and four-decade franchise.
CUL003,Legends profile: Michael Jordan,NBA,https://www.nba.com/news/history-nba-legend-michael-jordan,2021-09-14,2026-08-03,league_history,false,NBA profile describes Jordan as a cultural icon who spearheaded NBA globalization.
CUL004,Top Moments: Dream Team takes world by storm in 1992,NBA,https://www.nba.com/news/history-top-moments-dream-team-1992,2021-09-14,2026-08-03,league_history,false,Documents the Dream Team's role in accelerating basketball's global popularity.
CUL005,The Last Dance Audience Skyrockets with Time-Shifted and On-Demand Viewing,ESPN Press Room,https://espnpressroom.com/us/press-releases/2020/05/espn-sees-the-last-dance-audience-skyrocket-with-time-shifted-on-demand-viewing-now-averaging-more-than-12-8-million-viewers-per-episode-up-128-from-premieres/amp/,2020-05-21,2026-08-03,audience_release,true,Reports an average total audience of 12.876 million viewers per episode.
CUL006,Novant Health Dedicates Deloris P. Jordan Neurosciences Institute,Novant Health,https://www.novanthealth.org/newsroom/novant-health-dedicates-novant-health-deloris-p-jordan-neurosciences-institute,2026-02-03,2026-08-03,institution_release,true,Reports four Michael Jordan Family Medical Clinics and $27 million in gifts.
CUL007,Smithsonian Announces $5 Million Gift From Michael Jordan,Smithsonian Institution,https://www.si.edu/newsdesk/releases/smithsonian-announces-5-million-gift-michael-jordan-national-museum-african-american-histor,2016-08-09,2026-08-03,institution_release,true,Documents Jordan's $5 million museum gift and game-worn jersey donation.
CUL101,Nike Unveils the LeBron XXIII Signature Collection,"NIKE, Inc.",https://about.nike.com/en/newsroom/releases/lebron-23-official-images,2025-09-03,2026-08-03,brand_release,true,"Documents LeBron XXIII, global launch, long Nike partnership and 15 China trips."
CUL102,LeBron James Global Influence on the Next Generation,NBA,https://www.nba.com/watch/video/lebron-james-international-influence-next-generation?plsrc=nba,2023-01-07,2026-08-03,league_feature,false,Discusses LeBron's influence on the international generation of players.
CUL103,Maverick Carter,The SpringHill Company,https://www.springhillcompany.com/maverick-carter,,2026-08-03,company_profile,true,Documents the four brands built by LeBron James and Maverick Carter.
CUL104,LeBron James Family Foundation,LeBron James Family Foundation,https://www.lebronjamesfamilyfoundation.org/i-promise-program/,,2026-08-03,foundation_profile,true,"Reports that the I PROMISE program serves more than 1,400 Akron-area students."
CUL105,LeBron James Family Foundation Community Footprint,LeBron James Family Foundation,https://www.lebronjamesfamilyfoundation.org/maverick-carter/,,2026-08-03,foundation_profile,true,"Documents school, housing, healthcare, higher education and employment infrastructure."
CUL106,I Promise School Program is a Family Affair,Akron Public Schools,https://www.akronschools.com/district/news/news-detail/~board/district-news/post/i-promise-school-program-is-a-family-affair,2025-04-21,2026-08-03,school_district_release,true,Reports 343 current students and school-based wraparound resources.
