SOURCE_ID,CHECKED_AT,FETCH_METHOD,FETCH_URL,FETCH_FINAL_URL,FETCH_STATUS,HTTP_STATUS,CONTENT_TYPE,OBSERVED_TITLE,OBSERVED_ANALYST,OBSERVED_PUBLICATION,OBSERVED_PUBLICATION_DATE,TITLE_MATCH,ANALYST_MATCH,DATE_MATCH,PLAYER_COVERAGE_CHECK,ANALYTICAL_CONTENT_CHECK,CONTENT_SHA256,CONTENT_BYTES,AUTOMATED_STATUS,FETCH_ERROR,REVIEW_STATUS,REVIEWED_BY,REVIEWED_AT,REVIEW_NOTES
TB_MJ_BACKPICKS_2018,2026-08-04T14:51:42.965974+00:00,html,https://thinkingbasketball.net/2018/04/08/backpicks-goat-2-michael-jordan/,https://thinkingbasketball.net/2018/04/08/backpicks-goat-2-michael-jordan/,fetched,200,text/html,Backpicks GOAT: #2 Michael Jordan,,Thinking Basketball,2018-04-08,True,,True,True,True,eef0b51648ccfc219f6e5ee91f7664458fcbeaa4152750e24d4804c397696aae,102632,verified_with_metadata_gap,,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Page fetch confirmed the registered title, publication date, Michael Jordan coverage, and substantial analytical content. The page did not expose author metadata to the automated parser."
TB_LBJ_BACKPICKS_2018,2026-08-04T14:51:44.304334+00:00,html,https://thinkingbasketball.net/2018/04/05/backpicks-goat-3-lebron-james/,https://thinkingbasketball.net/2018/04/05/backpicks-goat-3-lebron-james/,fetched,200,text/html,Backpicks GOAT: #3 LeBron James,,Thinking Basketball,2018-04-05,True,,True,True,True,77af8f6afed8a0b8108d9428896e53d65975e2842485d8b6ee27fc02e3e41479,98228,verified_with_metadata_gap,,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Page fetch confirmed the registered title, publication date, LeBron James coverage, and substantial analytical content. The page did not expose author metadata to the automated parser."
GOLD_MJ_SCORING_2020,2026-08-04T14:51:45.026113+00:00,html,https://www.espn.com/nba/story/_/id/29035071/why-michael-jordan-scoring-prowess-touched,https://www.espn.com/nba/story/_/id/29035071/why-michael-jordan-scoring-prowess-touched,fetched,200,text/html,Why Michael Jordan's scoring prowess still can't be touched,Kirk Goldsberry,ESPN.com,2020-05-20,True,True,True,True,True,51990037ec0e0461da35d97cca003c4473c6cbacf46d0c81d8d78cdfb16155fc,127265,verified_automated,,verified,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Automated verification confirmed title, analyst, publication date, player coverage, and analytical content."
GOLD_LBJ_ATLAS_2018,2026-08-04T14:51:46.288805+00:00,html,https://www.espn.com/nba/story/_/id/24999715/lebron-james-atlas-kirk-goldsberry-king-evolving-offensive-game,https://www.espn.com/nba/story/_/id/24999715/lebron-james-atlas-kirk-goldsberry-king-evolving-offensive-game,fetched,200,text/html,The Atlas of LeBron James: How the King became an offensive force,Kirk Goldsberry,ESPN.com,2018-10-18,True,True,True,True,True,6c5cb48edd47960e8649450785533fbbf2063a214c1ad6214ac0d25e2805c16d,129798,verified_automated,,verified,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Automated verification confirmed title, analyst, publication date, player coverage, and analytical content."
GOLD_LBJ_SCORING_RECORD_2023,2026-08-04T14:51:47.080867+00:00,html,https://www.espn.com/nba/insider/story/_/id/35557670/lebron-journey-nba-scoring-record-shot-charts,https://www.espn.com/nba/insider/story/_/id/35557670/lebron-journey-nba-scoring-record-shot-charts,fetched,200,text/html,LeBron's journey to the NBA scoring record in shot charts,Kirk Goldsberry,ESPN.com,2023-02-08,True,True,True,True,True,76a2f150086ce49b0598f908cb4208d41b54a901d3b2690e93d9d51e5494ee05,161303,verified_automated,,verified,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Automated verification confirmed title, analyst, publication date, player coverage, and analytical content."
SCHUHMANN_LBJ_TRANSITION_2020,2026-08-04T14:51:47.139019+00:00,html,https://www.nba.com/news/film-study-lakers-transition-lebron-james-anthony-davis,https://www.nba.com/news/film-study-lakers-transition-lebron-james-anthony-davis,http_error,403,,,,,,,,,,False,,0,fetch_failed,HTTP Error 403: Forbidden,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"The automated urllib client received HTTP 403. The official NBA.com page was separately confirmed with the registered title, John Schuhmann byline, May 13 2020 date, LeBron coverage, play examples, and tracking analysis."
SCHUHMANN_LBJ_DEFENSE_LOAD_2018,2026-08-04T14:51:47.184008+00:00,html,https://www.nba.com/news/shouldering-offensive-load-took-big-toll-lebron-james-defense,https://www.nba.com/news/shouldering-offensive-load-took-big-toll-lebron-james-defense,http_error,403,,,,,,,,,,False,,0,fetch_failed,HTTP Error 403: Forbidden,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"The automated urllib client received HTTP 403. The official NBA.com page was separately confirmed with the registered title, John Schuhmann byline, June 9 2018 date, LeBron coverage, defensive examples, and workload context."
SCHUHMANN_LBJ_CURRY_SWITCH_2018,2026-08-04T14:51:47.225349+00:00,html,https://www.nba.com/news/finals-film-study-lebron-james-stephen-curry,https://www.nba.com/news/finals-film-study-lebron-james-stephen-curry,http_error,403,,,,,,,,,,False,,0,fetch_failed,HTTP Error 403: Forbidden,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"The automated urllib client received HTTP 403. The official NBA.com page was separately confirmed with the registered title, John Schuhmann byline, June 2 2018 date, and possession-level Finals matchup analysis."
SCHUHMANN_LBJ_FINALS_DEFENSE_2020,2026-08-04T14:51:47.270232+00:00,html,https://www.nba.com/news/lakers-heat-game-4-film-study-analysis,https://www.nba.com/news/lakers-heat-game-4-film-study-analysis,http_error,403,,,,,,,,,,False,,0,fetch_failed,HTTP Error 403: Forbidden,verified_with_qualification,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"The automated urllib client received HTTP 403. The official NBA.com page was separately confirmed with the registered title, John Schuhmann byline, October 8 2020 date, and play-specific Finals defensive analysis."
LOWE_LAKERS_DEFENSE_2020,2026-08-04T14:51:47.832054+00:00,html,https://www.espn.com/nba/story/_/page/zachlowe30004764/nba-finals-how-lebron-james-anthony-davis-lakers-smothering-opponents,https://www.espn.com/nba/story/_/page/zachlowe30004764/nba-finals-how-lebron-james-anthony-davis-lakers-smothering-opponents,fetched,200,text/html,"NBA Finals: How LeBron James, Anthony Davis and the Lakers are smothering opponents",Zach Lowe,ESPN.com,2020-10-03,True,True,True,True,True,e4ead7c45350ba6b6c125bfd2e7ea1d8a305cae5116760d0f1c46f710d2fca47,137386,verified_automated,,verified,GOAT Lab AI-assisted source review,2026-08-04T14:51:54.333229+00:00,"Automated verification confirmed title, analyst, publication date, player coverage, and analytical content."
